objectid,filename,youtubeid,vimeoid,title,occupation,date_lifespan,creator,date_certain,date,description,identifier,subject,location,latitude,longitude,source,type,format,language,rights,rightsstatement
coll0090,FGV_Visitkort_044B.jpg,,,"Wong, Anna",,,Anders Andersson,,1874,Frk. Anna Wong,F1964_1990,,Vadstena,58.4493607,14.89070692,Föreningen Gamla Vadstena,Image;StillImage,image/jpeg,swe,Föreningen Gamla Vadstena,PDM
coll0091,FGV_Visitkort_045A.jpg,,,"Ström, Elsa",,,Fredrique Holmstedt,,1898,Elsa Ström. Dotter till köpman Ström och Mimmi Regnstrand,F1964_1987,,Vadstena,58.4493607,14.89070692,Föreningen Gamla Vadstena,Image;StillImage,image/jpeg,swe,Föreningen Gamla Vadstena,PDM
coll0092,FGV_Visitkort_045B.jpg,,,"Ström, Elsa",,,Fredrique Holmstedt,,1898,Elsa Ström. Dotter till köpman Ström och Mimmi Regnstrand,F1964_1987,,Vadstena,58.4493607,14.89070692,Föreningen Gamla Vadstena,Image;StillImage,image/jpeg,swe,Föreningen Gamla Vadstena,PDM
coll0093,FGV_Visitkort_046A.jpg,,,"Petersson, Gustaf R.",Redaktör,,Alfred Dahllöf,,1895,Gustaf R. Petersson,F1964_1956,,Vadstena,58.4493607,14.89070692,Föreningen Gamla Vadstena,Image;StillImage,image/jpeg,swe,Föreningen Gamla Vadstena,PDM
coll0094,FGV_Visitkort_046B.jpg,,,"Petersson, Gustaf R.",Redaktör,,Alfred Dahllöf,,1895,Gustaf R. Petersson,F1964_1956,,Vadstena,58.4493607,14.89070692,Föreningen Gamla Vadstena,Image;StillImage,image/jpeg,swe,Föreningen Gamla Vadstena,PDM
coll0095,FGV_Visitkort_047A.jpg,,,"Odhner, Ebba",,,C.H. Gustafsson,,1882,Ebba Odhner och Signe Nohrman,F1964_1966,,Vadstena,58.4493607,14.89070692,Föreningen Gamla Vadstena,Image;StillImage,image/jpeg,swe,Föreningen Gamla Vadstena,PDM
coll0096,FGV_Visitkort_047B.jpg,,,"Odhner, Ebba",,,C.H. Gustafsson,,1882,Ebba Odhner och Signe Nohrman,F1964_1966,,Vadstena,58.4493607,14.89070692,Föreningen Gamla Vadstena,Image;StillImage,image/jpeg,swe,Föreningen Gamla Vadstena,PDM
coll0097,FGV_Visitkort_047A.jpg,,,"Nohrman, Signe",,,C.H. Gustafsson,,1882,Ebba Odhner och Signe Nohrman,F1964_1966,,Vadstena,58.4493607,14.89070692,Föreningen Gamla Vadstena,Image;StillImage,image/jpeg,swe,Föreningen Gamla Vadstena,PDM
coll0098,FGV_Visitkort_047B.jpg,,,"Nohrman, Signe",,,C.H. Gustafsson,,1882,Ebba Odhner och Signe Nohrman,F1964_1966,,Vadstena,58.4493607,14.89070692,Föreningen Gamla Vadstena,Image;StillImage,image/jpeg,swe,Föreningen Gamla Vadstena,PDM
coll0099,FGV_Visitkort_048A.jpg,,,"Wirén, Agnes",Handelsidkerska,1848-,Anders Andersson,,1879,Frk. Agnes Wirén,F1964_1992,,Vadstena,58.4493607,14.89070692,Föreningen Gamla Vadstena,Image;StillImage,image/jpeg,swe,Föreningen Gamla Vadstena,PDM
coll0100,FGV_Visitkort_048B.jpg,,,"Wirén, Agnes",Handelsidkerska,1848-,Anders Andersson,,1879,Frk. Agnes Wirén,F1964_1993,,Vadstena,58.4493607,14.89070692,Föreningen Gamla Vadstena,Image;StillImage,image/jpeg,swe,Föreningen Gamla Vadstena,PDM
coll0101,FGV_Visitkort_049A.jpg,,,"Wirén, Agnes",Affärsinnehavare,,,,1897,Agnes Wirén,F1964_1993,,Vadstena,58.4493607,14.89070692,Föreningen Gamla Vadstena,Image;StillImage,image/jpeg,swe,Föreningen Gamla Vadstena,PDM
coll0102,FGV_Visitkort_049B.jpg,,,"Wirén, Agnes",Affärsinnehavare,,,,1897,Agnes Wirén,F1964_1993,,Vadstena,58.4493607,14.89070692,Föreningen Gamla Vadstena,Image;StillImage,image/jpeg,swe,Föreningen Gamla Vadstena,PDM
coll0103,FGV_Visitkort_050A.jpg,,,"Wirén, C.J.",Målare,,,,1870,C.J. Wirén,Saknas,,Vadstena,58.4493607,14.89070692,Föreningen Gamla Vadstena,Image;StillImage,image/jpeg,swe,Föreningen Gamla Vadstena,PDM
